case,num_nodes,num_sources,avg_degree,budget,gnn,random,max_degree_static,max_degree_dynamic
3.0,25.0,1.0,2.0,3.0,0.07428571428571429,0.1142857142857143,0.05714285714285715,0.06285714285714286
3.0,25.0,1.0,3.0,1.0,0.2833333333333334,0.3,0.22333333333333336,0.24
3.0,25.0,1.0,3.0,2.0,0.18000000000000002,0.16333333333333333,0.09000000000000001,0.09333333333333334
3.0,25.0,1.0,3.0,3.0,0.1366666666666667,0.13,0.06,0.06
3.0,25.0,1.0,4.0,1.0,0.22,0.28,0.22666666666666666,0.22666666666666666
3.0,25.0,1.0,4.0,2.0,0.15333333333333335,0.18000000000000002,0.09999999999999999,0.09999999999999999
3.0,25.0,1.0,4.0,3.0,0.10666666666666667,0.14666666666666667,0.08,0.09333333333333334
3.0,25.0,2.0,1.0,1.0,0.11,0.115,0.045,0.08
3.0,25.0,2.0,1.0,2.0,0.09,0.1,0.04,0.04
3.0,25.0,2.0,1.0,3.0,0.06,0.07,0.04,0.04
3.0,25.0,2.0,2.0,1.0,0.125,0.195,0.115,0.135
3.0,25.0,2.0,2.0,2.0,0.11,0.11,0.065,0.075
3.0,25.0,2.0,2.0,3.0,0.07,0.08,0.055,0.060000000000000005
3.0,25.0,2.0,3.0,1.0,0.11555555555555556,0.1688888888888889,0.16,0.16
3.0,25.0,2.0,3.0,2.0,0.07111111111111111,0.13777777777777778,0.08444444444444445,0.08444444444444445
3.0,25.0,2.0,3.0,3.0,0.07111111111111111,0.07555555555555554,0.07111111111111111,0.07111111111111111
3.0,25.0,2.0,4.0,1.0,0.152,0.248,0.16,0.16
3.0,25.0,2.0,4.0,2.0,0.096,0.136,0.10400000000000001,0.10400000000000001
3.0,25.0,2.0,4.0,3.0,0.08,0.05600000000000001,0.064,0.08
3.0,25.0,3.0,1.0,1.0,0.2,0.12,0.08,0.12
3.0,25.0,3.0,1.0,2.0,0.2,0.16,0.04,0.08
3.0,25.0,3.0,1.0,3.0,0.2,0.12,0.04,0.04
3.0,25.0,3.0,2.0,1.0,0.19111111111111112,0.2088888888888889,0.14666666666666667,0.17333333333333334
3.0,25.0,3.0,2.0,2.0,0.15555555555555556,0.14666666666666667,0.09333333333333334,0.09777777777777778
3.0,25.0,3.0,2.0,3.0,0.09333333333333332,0.10666666666666666,0.044444444444444446,0.05333333333333333
3.0,25.0,3.0,3.0,1.0,0.14666666666666667,0.20000000000000004,0.17333333333333334,0.17333333333333334
3.0,25.0,3.0,3.0,2.0,0.13333333333333333,0.16,0.12,0.13333333333333333
3.0,25.0,3.0,3.0,3.0,0.09333333333333334,0.13333333333333333,0.10666666666666667,0.12
3.0,25.0,3.0,4.0,1.0,0.17333333333333334,0.25333333333333335,0.17333333333333334,0.17333333333333334
3.0,25.0,3.0,4.0,2.0,0.09333333333333334,0.13333333333333333,0.16,0.16
3.0,25.0,3.0,4.0,3.0,0.08,0.13333333333333333,0.13333333333333333,0.14666666666666667
3.0,50.0,1.0,1.0,1.0,0.03333333333333333,0.04,0.03333333333333333,0.03333333333333333
3.0,50.0,1.0,1.0,2.0,0.02666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333
3.0,50.0,1.0,1.0,3.0,0.02666666666666667,0.02666666666666667,0.03333333333333333,0.02666666666666667
3.0,50.0,1.0,2.0,1.0,0.1,0.135,0.065,0.09
3.0,50.0,1.0,2.0,2.0,0.055,0.10500000000000001,0.030000000000000002,0.04
3.0,50.0,1.0,2.0,3.0,0.05,0.065,0.030000000000000002,0.030000000000000002
3.0,50.0,1.0,3.0,1.0,0.2225,0.28250000000000003,0.135,0.185
3.0,50.0,1.0,3.0,2.0,0.1,0.1775,0.0725,0.095
3.0,50.0,1.0,3.0,3.0,0.0625,0.115,0.0625,0.0625
3.0,50.0,1.0,4.0,1.0,0.22,0.22,0.22,0.22
3.0,50.0,1.0,4.0,2.0,0.1,0.22,0.1,0.1
3.0,50.0,1.0,4.0,3.0,0.08,0.12,0.06,0.06
3.0,50.0,2.0,1.0,1.0,0.048,0.064,0.02,0.04
3.0,50.0,2.0,1.0,2.0,0.032,0.048,0.02,0.02
3.0,50.0,2.0,1.0,3.0,0.036,0.048,0.02,0.02
3.0,50.0,2.0,2.0,1.0,0.064,0.184,0.05600000000000001,0.072
3.0,50.0,2.0,2.0,2.0,0.044,0.08399999999999999,0.044,0.06
3.0,50.0,2.0,2.0,3.0,0.028000000000000004,0.072,0.032,0.044
3.0,50.0,2.0,3.0,1.0,0.16,0.2333333333333333,0.18000000000000002,0.18000000000000002
3.0,50.0,2.0,3.0,2.0,0.09999999999999999,0.15333333333333335,0.16,0.18000000000000002
3.0,50.0,2.0,3.0,3.0,0.08,0.14666666666666667,0.12,0.09999999999999999
